video_id,guest_name,guest,guest_slug,transcription,text,y_log_pred,view_count_pred,is_synthetic,source_file,chunk_id,start_time,end_time,model_name,regressor_path,created_at
ODjfcRNL2ED,Anne Applebaum,Anne Applebaum,anne-applebaum,"I think back on that and think where we are now and we now have this enormous Ukrainian army, and Ukraine has links and contacts all over the world and allies all over the planet and friends inside the United States and Europe. It's an amazing achievement. Let's take a step back and think where we were and where we are. The Russians did not win. They cannot win, actually. I don't think they can win without Trump. They could not win on the battlefield. Supposedly the second- largest army in Europe has been blocked by what was supposedly what they thought and what they described as a bunch of peasants. And it's just a reminder to us all of the hubris of great powers, which has hit us at times in our history, and also the weakness of the autocratic message. The Ukrainians believe in grassroots democracy, in an open society. They have created networks of civil society who help the army and who work in defense. The army itself is, mostly at this point, a civilian army. People were doing different kinds of jobs three years ago, and yet they have put up this extraordinary defense. I mean, I think whatever happens next, the example Ukraine has set other societies for how you resist autocracy and how you stand up to violence and brutality.","I think back on that and think where we are now and we now have this enormous Ukrainian army, and Ukraine has links and contacts all over the world and allies all over the planet and friends inside the United States and Europe. It's an amazing achievement. Let's take a step back and think where we were and where we are. The Russians did not win. They cannot win, actually. I don't think they can win without Trump. They could not win on the battlefield. Supposedly the second- largest army in Europe has been blocked by what was supposedly what they thought and what they described as a bunch of peasants. And it's just a reminder to us all of the hubris of great powers, which has hit us at times in our history, and also the weakness of the autocratic message. The Ukrainians believe in grassroots democracy, in an open society. They have created networks of civil society who help the army and who work in defense. The army itself is, mostly at this point, a civilian army. People were doing different kinds of jobs three years ago, and yet they have put up this extraordinary defense. I mean, I think whatever happens next, the example Ukraine has set other societies for how you resist autocracy and how you stand up to violence and brutality.",10.290864796912363,29461,True,transcript_anne-applebaum-on-ukraine-europe-and-the-us.yaml,40,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.713158+00:00
LbdDZ1c5jAU,Anne Applebaum,Anne Applebaum,anne-applebaum,"It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him. And that includes every European country. So he can't visit Europe at all because he would be arrested upon landing. And the fact, as you say, that he appeared in the US, that American soldiers physically rolled out a red carpet for him, which I haven't seen them doing for Zelensky indeed, or President Macron, or anybody else. The fact that he was received with this expectation of an elaborate lunch and so on, which by the way, he didn't stick around for. The fact that he was apparently rude to the American president, for which he seems to have paid no price either. I mean, all that is, from the European point of view and really actually the international point of view, pretty extraordinary. And it has started once again all the questions and conversations about what does he have over Trump? Why is Trump a supplicant towards Putin? Why is the United States, which is a much larger, much more important, much wealthier, much more powerful country, why do we appear to be sucking up to Russia?","It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him. And that includes every European country. So he can't visit Europe at all because he would be arrested upon landing. And the fact, as you say, that he appeared in the US, that American soldiers physically rolled out a red carpet for him, which I haven't seen them doing for Zelensky indeed, or President Macron, or anybody else. The fact that he was received with this expectation of an elaborate lunch and so on, which by the way, he didn't stick around for. The fact that he was apparently rude to the American president, for which he seems to have paid no price either. I mean, all that is, from the European point of view and really actually the international point of view, pretty extraordinary. And it has started once again all the questions and conversations about what does he have over Trump? Why is Trump a supplicant towards Putin? Why is the United States, which is a much larger, much more important, much wealthier, much more powerful country, why do we appear to be sucking up to Russia?",10.237794065103214,27938,True,transcript_anne-applebaum.yaml,7,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.771832+00:00
2rjTbrNLwMt,Anne Applebaum,Anne Applebaum,anne-applebaum,"I don't actually like it when all of our friends spend too much time making fun of him for all this stuff. I'm not saying he's doing this purposely and it's a brilliant four-dimensional chess thing, but it sort of conceals the true, as you say, the really sustained and pretty systematic threat to the rule of law, the institutions, the norms that he's perfectly happy to carry out and pretty conscious that he's carrying out. Right? He's pretty conscious. And a really telling thing was said to me recently by a Russian journalist I know who's now in exile, who said to me that in the Kremlin ... And this will take a minute to explain, okay? In the Kremlin, they talk about Trump as the American Gorbachev, by which they don't mean leader of the free democracy and blah. Blah. Blah. They mean he's the person who will take the system down, because in the Kremlin, the current Kremlin, they remember Gorbachev as the person who destroyed the Soviet Union. And so now, they're betting that Trump will be the person who destroys the United States, whether he makes it ungovernable, whether he assaults the institution, so that they no longer function, whether he creates so much division and chaos that the US can't have a foreign policy anymore.","I don't actually like it when all of our friends spend too much time making fun of him for all this stuff. I'm not saying he's doing this purposely and it's a brilliant four-dimensional chess thing, but it sort of conceals the true, as you say, the really sustained and pretty systematic threat to the rule of law, the institutions, the norms that he's perfectly happy to carry out and pretty conscious that he's carrying out. Right? He's pretty conscious. And a really telling thing was said to me recently by a Russian journalist I know who's now in exile, who said to me that in the Kremlin ... And this will take a minute to explain, okay? In the Kremlin, they talk about Trump as the American Gorbachev, by which they don't mean leader of the free democracy and blah. Blah. Blah. They mean he's the person who will take the system down, because in the Kremlin, the current Kremlin, they remember Gorbachev as the person who destroyed the Soviet Union. And so now, they're betting that Trump will be the person who destroys the United States, whether he makes it ungovernable, whether he assaults the institution, so that they no longer function, whether he creates so much division and chaos that the US can't have a foreign policy anymore.",10.229266181735918,27701,True,transcript_anne-applebaum-on-ukraine-russia-europe-and-the-us.yaml,36,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.827222+00:00
shF6PwKluYI,Anne Applebaum,Anne Applebaum,anne-applebaum,"The Ukrainians will keep it going because they don't have a choice. So as far as they're concerned, it's an existential war. I mean, they have to fight because when they lose territory, the territory becomes Russian. The people living on it are put in concentration camps. I mean, there's a horrific story that came out in the FT, in the Financial Times in the last few days, describing how the Russian plan to kidnap Ukrainian children, bring them to Russia, Russify them and put them up for adoption, was actually created before the war. And the FT actually found advertisements, I mean essentially offering Ukrainian children up for adoption inside Russia. So they will lose their children, they will lose their identity, they will lose their way of life. They'll probably lose their businesses because Russia nationalizes whatever businesses it finds in occupied territory. So for them, an occupation is the imposition of a totalitarian regime, and they can't live there, it will be the end. So they will keep fighting. And for Russia, it remains a war of choice. I mean, it remains something they don't have to do. It's a war that's being fought largely now for the sake of Putin's ego and for both his belief in some recreation of some kind of Russian Empire, but also it's his battle against the idea of democracy and the idea that a country like Ukraine can choose what kind of government it wants to have.","The Ukrainians will keep it going because they don't have a choice. So as far as they're concerned, it's an existential war. I mean, they have to fight because when they lose territory, the territory becomes Russian. The people living on it are put in concentration camps. I mean, there's a horrific story that came out in the FT, in the Financial Times in the last few days, describing how the Russian plan to kidnap Ukrainian children, bring them to Russia, Russify them and put them up for adoption, was actually created before the war. And the FT actually found advertisements, I mean essentially offering Ukrainian children up for adoption inside Russia. So they will lose their children, they will lose their identity, they will lose their way of life. They'll probably lose their businesses because Russia nationalizes whatever businesses it finds in occupied territory. So for them, an occupation is the imposition of a totalitarian regime, and they can't live there, it will be the end. So they will keep fighting. And for Russia, it remains a war of choice. I mean, it remains something they don't have to do. It's a war that's being fought largely now for the sake of Putin's ego and for both his belief in some recreation of some kind of Russian Empire, but also it's his battle against the idea of democracy and the idea that a country like Ukraine can choose what kind of government it wants to have.",10.18931724248777,26616,True,transcript_anne-applebaum-on-ukraine-russia-europe-and-the-us.yaml,5,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.884196+00:00
FdlKdMwj6uU,Anne Applebaum,Anne Applebaum,anne-applebaum,"And that was part of why they won the first battle of Kiev. And I just don't know how the comments of Trump will affect people fighting on the ground and working on behalf of troops. So it's very hard to say, but they do have cards. They're better prepared now. They have an army that's a million people strong. For fighting this particular kind of war, they are not in a bad position. And so there's no feeling there that this front line is about to collapse. That's good. And I do think... I mean, Trump has gone very far in the direction he's gone in and all the talk about Keith Kellogg. He's pretty pro-Ukraine, and he's going to make a difference. That seems a little farcical right now at least. But I think especially if Ukraine doesn't collapse and if the fight slogs along unsatisfactorily but not disastrously for Ukraine, and if Putin is unreasonable and won't take yes for an answer, which is quite possible since he wants to destroy Ukraine and conquer Kiev and, as you've argued many times, not simply have a little more territory, I mean, he might take that as a temporary thing, but he might not even take that as a temporary thing at this point. I wonder if in the US there couldn't be more of a reaction against what Trump's doing than people think, including by the Republicans in Congress?","And that was part of why they won the first battle of Kiev. And I just don't know how the comments of Trump will affect people fighting on the ground and working on behalf of troops. So it's very hard to say, but they do have cards. They're better prepared now. They have an army that's a million people strong. For fighting this particular kind of war, they are not in a bad position. And so there's no feeling there that this front line is about to collapse. That's good. And I do think... I mean, Trump has gone very far in the direction he's gone in and all the talk about Keith Kellogg. He's pretty pro-Ukraine, and he's going to make a difference. That seems a little farcical right now at least. But I think especially if Ukraine doesn't collapse and if the fight slogs along unsatisfactorily but not disastrously for Ukraine, and if Putin is unreasonable and won't take yes for an answer, which is quite possible since he wants to destroy Ukraine and conquer Kiev and, as you've argued many times, not simply have a little more territory, I mean, he might take that as a temporary thing, but he might not even take that as a temporary thing at this point. I wonder if in the US there couldn't be more of a reaction against what Trump's doing than people think, including by the Republicans in Congress?",10.1842491971092,26482,True,transcript_anne-applebaum-on-ukraine-europe-and-the-us.yaml,25,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.884311+00:00
vtaiJVfU7wi,Anne Applebaum,Anne Applebaum,anne-applebaum,"I mean, the Europeans seem to be doing more. I'm just curious how worrisome though is that going forward, three, six, 9, 12 months, obviously if it stays basically dried up? And secondly, one thing you didn't mention that I think fits very much in with what you were saying is having Putin in the United States, I think people here didn't appreciate what that meant. I mean, he's been a pariah, justifiably so in my opinion, since the invasion, but maybe he should have been a pariah after the first invasion. That's a whole 'nother, but anyway, certainly since February 24th, 2022, and he hasn't been to any respectable European country, and maybe even unrespectable one. I don't know if he's been anywhere in Europe beyond Belarus or something. And having him be greeted with a red carpet by the president of the United States in the US while the war's going on, no ceasefire, no cessation for one day of bombing of civilians. I feel like that's a horrible, horrible thing for the US. It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him.","I mean, the Europeans seem to be doing more. I'm just curious how worrisome though is that going forward, three, six, 9, 12 months, obviously if it stays basically dried up? And secondly, one thing you didn't mention that I think fits very much in with what you were saying is having Putin in the United States, I think people here didn't appreciate what that meant. I mean, he's been a pariah, justifiably so in my opinion, since the invasion, but maybe he should have been a pariah after the first invasion. That's a whole 'nother, but anyway, certainly since February 24th, 2022, and he hasn't been to any respectable European country, and maybe even unrespectable one. I don't know if he's been anywhere in Europe beyond Belarus or something. And having him be greeted with a red carpet by the president of the United States in the US while the war's going on, no ceasefire, no cessation for one day of bombing of civilians. I feel like that's a horrible, horrible thing for the US. It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him.",10.150864186303878,25612,True,transcript_anne-applebaum.yaml,6,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.884408+00:00
cpHdEoziIbo,John Bolton,John Bolton,john-bolton,"Well, it's important to state every time he does not have a philosophy. There is no Trumpism. He wants to do what he wants to do. He doesn't think in terms of policy, he thinks in terms of what Donald Trump wants and how that will benefit him. It's ad hoc transactional, episodic, inconsistent. And there has been no change that I've seen in his behavior. What some people say, ""Well, he's gotten worse over time, he got worse during the first four years, he got worse during the intervening four years."" I don't think that's right. I think what has changed is that behavior and statements that I and many others saw in private in the first term, he now has no inhibition about saying publicly. I mean, he curses like a sailor in some of these rallies and people just think it's great. It sounds like even more outrageous things. But as I say, those are just things he said in private before. And I think his focus on what benefits Donald Trump, what makes him look good, that's going to dominate all of his calculations for the next four years because that's all he's got. I mean, in particular, anything ... What worries you the most? I mean either policy areas, the kind of judgments? The most serious unquestionably in the national security area, all of his neuron flashes are isolationist.","Well, it's important to state every time he does not have a philosophy. There is no Trumpism. He wants to do what he wants to do. He doesn't think in terms of policy, he thinks in terms of what Donald Trump wants and how that will benefit him. It's ad hoc transactional, episodic, inconsistent. And there has been no change that I've seen in his behavior. What some people say, ""Well, he's gotten worse over time, he got worse during the first four years, he got worse during the intervening four years."" I don't think that's right. I think what has changed is that behavior and statements that I and many others saw in private in the first term, he now has no inhibition about saying publicly. I mean, he curses like a sailor in some of these rallies and people just think it's great. It sounds like even more outrageous things. But as I say, those are just things he said in private before. And I think his focus on what benefits Donald Trump, what makes him look good, that's going to dominate all of his calculations for the next four years because that's all he's got. I mean, in particular, anything ... What worries you the most? I mean either policy areas, the kind of judgments? The most serious unquestionably in the national security area, all of his neuron flashes are isolationist.",9.665791398733669,15768,True,transcript_john-bolton-on-trumps-cabinet-picks-and-what-to-expect-in-his-second-term.yaml,50,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.884550+00:00
b_y6ShRfh2z,James Carville,James Carville,james-carville,"But the question, can it have an effect? The answer is yes, if he's acquitted or even a hung jury, that will excite his people and it will demoralize a lot of Democrats. How much, don't know. An acquittal would be very good for him and would really demoralize them. Now, the lawyers say there's not going to be an acquittal. I don't know, but if there's a guilty verdict, remember juries are supreme. And what that juror, that foreman, whoever goes out and speaks for the jury says is going to have a lot of say. You can say, ""Well, it's a Manhattan jury."" Well, it's a Manhattan jury, Manhattan, Kansas, Manhattan, New York, they're all people. And they all sat there, you know, we sat for six weeks. We listened to 28 hours testimony. We went through every charge. We waited. That matters to people. And so, people say, well, the hardcore Trump people, probably not going to affect the hardcore. But as we talked about earlier, he can't win with just MAGA. And so, a lot of people that you know that even I know some, they don't want to vote for a Democrat. They're very uncomfortable with Trump, but they don't know, this will keep them away. They'll either vote for Biden or not vote. You just can't look at the Trump vote as hardcore MAGA because we know that's not enough.","But the question, can it have an effect? The answer is yes, if he's acquitted or even a hung jury, that will excite his people and it will demoralize a lot of Democrats. How much, don't know. An acquittal would be very good for him and would really demoralize them. Now, the lawyers say there's not going to be an acquittal. I don't know, but if there's a guilty verdict, remember juries are supreme. And what that juror, that foreman, whoever goes out and speaks for the jury says is going to have a lot of say. You can say, ""Well, it's a Manhattan jury."" Well, it's a Manhattan jury, Manhattan, Kansas, Manhattan, New York, they're all people. And they all sat there, you know, we sat for six weeks. We listened to 28 hours testimony. We went through every charge. We waited. That matters to people. And so, people say, well, the hardcore Trump people, probably not going to affect the hardcore. But as we talked about earlier, he can't win with just MAGA. And so, a lot of people that you know that even I know some, they don't want to vote for a Democrat. They're very uncomfortable with Trump, but they don't know, this will keep them away. They'll either vote for Biden or not vote. You just can't look at the Trump vote as hardcore MAGA because we know that's not enough.",9.516509327129057,13581,True,transcript_james-carville-on-biden-v-trump-2024.yaml,22,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:25.961403+00:00
ucR_LGOTU2I,John Bolton,John Bolton,john-bolton,"I think if Steve Feinberg could clean up defense department procurement, you could speed up the delivery of weapons systems. You could save billions of dollars, all of which you could then plow back into the defense budget and there's an enormous amount of work to do. John Lehman who was Reagan's secretary of the Navy, said some years ago, ""The way to solve the procurement problem at DOD is take all the armed procurement regulations, take all the board of contract appeals decisions, take all the court cases, put them in a big pile in the Pentagon parking lot and burn them."" And I think that's basically about right. So if Feinberg can do that, if he can help make the personnel selection process more efficient in the military, if the service secretaries really do their jobs in an efficient way, if they bring some of what they've learned in business to help make the services more effective, that could all be good and let Hegseth do pushups in the morning with the troops and testify on Congress and things like that. There's a lot to do over there and there may yet be a chance it can happen. Where I think the biggest failing is occurring, and it just happened this week, is in the White House where the defense budget, it looked to be over a trillion dollars request for the next fiscal year, but as Roger Wicker from Mississippi, the chairman of the Senate Armed Services Committee pointed out it included 150 billion that he had added to Biden's budget just in the past few months.","I think if Steve Feinberg could clean up defense department procurement, you could speed up the delivery of weapons systems. You could save billions of dollars, all of which you could then plow back into the defense budget and there's an enormous amount of work to do. John Lehman who was Reagan's secretary of the Navy, said some years ago, ""The way to solve the procurement problem at DOD is take all the armed procurement regulations, take all the board of contract appeals decisions, take all the court cases, put them in a big pile in the Pentagon parking lot and burn them."" And I think that's basically about right. So if Feinberg can do that, if he can help make the personnel selection process more efficient in the military, if the service secretaries really do their jobs in an efficient way, if they bring some of what they've learned in business to help make the services more effective, that could all be good and let Hegseth do pushups in the morning with the troops and testify on Congress and things like that. There's a lot to do over there and there may yet be a chance it can happen. Where I think the biggest failing is occurring, and it just happened this week, is in the White House where the defense budget, it looked to be over a trillion dollars request for the next fiscal year, but as Roger Wicker from Mississippi, the chairman of the Senate Armed Services Committee pointed out it included 150 billion that he had added to Biden's budget just in the past few months.",9.51431274231122,13551,True,transcript_john-bolton-trump-100-days.yaml,27,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:26.019187+00:00
xw7gBOirOl3,John Bolton,John Bolton,john-bolton,"It's not inevitable that a defeat on a nominee hurts an incoming president. When George HW Bush nominated John Tower for defense Secretary and Tower went down, he nominated Cheney. Life moved on. For Trump, I think it's different because he's trying to portray the image of invincibility, that he won by a tremendous margin, which he didn't. He got a plurality of the votes and he won. This time, there's no dispute who won, but this is not a huge victory. This was not a landslide. And when the bubble of invincibility gets pierced, I think Trump could find himself moving very quickly from being a newly inaugurated president to the other reality, which is he's a lame duck the day he takes office. So I think good political advice would be don't fight fights you're bound to lose over somebody like Tulsi Gabbard. I mean, if you really want Scott Bessent to be treasury secretary, I don't think he'll have much opposition. You fight for that. You don't fight for the ones that are basically collateral. So it'll be interesting to see how Trump responds. But my guess is Republican Senators are basically finding ways to do this behind the scenes, not to have a public confrontation with the President, which would hurt them and hurt him, but clear this detritus away more quietly.","It's not inevitable that a defeat on a nominee hurts an incoming president. When George HW Bush nominated John Tower for defense Secretary and Tower went down, he nominated Cheney. Life moved on. For Trump, I think it's different because he's trying to portray the image of invincibility, that he won by a tremendous margin, which he didn't. He got a plurality of the votes and he won. This time, there's no dispute who won, but this is not a huge victory. This was not a landslide. And when the bubble of invincibility gets pierced, I think Trump could find himself moving very quickly from being a newly inaugurated president to the other reality, which is he's a lame duck the day he takes office. So I think good political advice would be don't fight fights you're bound to lose over somebody like Tulsi Gabbard. I mean, if you really want Scott Bessent to be treasury secretary, I don't think he'll have much opposition. You fight for that. You don't fight for the ones that are basically collateral. So it'll be interesting to see how Trump responds. But my guess is Republican Senators are basically finding ways to do this behind the scenes, not to have a public confrontation with the President, which would hurt them and hurt him, but clear this detritus away more quietly.",9.514258893193624,13551,True,transcript_john-bolton-on-trumps-cabinet-picks-and-what-to-expect-in-his-second-term.yaml,34,,,sentence-transformers/all-MiniLM-L6-v2,runs/train_regressor_minilm_guestfeat_v1/ridge_regressor_guestfeat_v1.pkl,2025-09-10T17:06:26.071173+00:00
