video_id,view_count,guest_name,transcription
fU7wicpHdEo,2756,Aaron Reichlin-Melnick,"And that population continues to go through the education every single year without having any access to a path to permanent legal status. So they're here, and some administrations are, so to speak, nicer to them than Trump threatens to be. I suppose the question is, will Trump find that ultimately in his political interest to kind of go after people who are graduating from high school and applying to college or working in an undocumented way in building trades or hospitality or something like that, or leave that alone and focus more of the ones who have caused more of a ruckus, more politically been the object of a ruckus maybe politically, the last year or two or three, who are the more recent undocumented arrivals? Yes. So ironically, it's actually going to be very hard for them to focus on the more recent arrivals, because the overwhelming majority of the more recent arrivals are already in the process of being ordered potentially deported. There are 3.7 million cases currently pending in immigration court. These are people who already have been arrested, have already been placed into a deportation process, and that is the vast majority of recent arrivals."
ziIbob_y6Sh,2703,Aaron Reichlin-Melnick,"Actually, yes, a lot of people who get arrested by ICE or border patrol and put into removal proceedings, then eventually just get released. If they have no criminal record, they get released, go back to living their lives and attend court for however long that process is. When the court proceeding is over, if they lose, then they get deported. And if they win then they get to stay. But most of the time people go through this process outside of detention and just going about their lives pretty normally with a sword of Damocles hanging over their head. Based on the Trump administration, if they just get more aggressive on raids or whatever we're supposed to call them, and the targeted actions and if they have the good enough information to know where to target actions and stuff, which maybe they do, I don't know, I mean, what would the plausible number of people... What's a plausible that President Trump could stand up nine months from now and say, we've deported X number of criminals that otherwise were just living in this country disgracefully, taking advantage of us and so forth? Are we talking about tens of thousands of people?"
Rfh2zucR_LG,2674,Aaron Reichlin-Melnick,"And just to think about the campaign, the Haitians in Springfield, Ohio, they have temporary protective status. That's something a lot of people had not heard much about and suddenly became a thing, TPS. Trump could make it harder for some of those people to stay in the country and not extend their status or curtail their status, perhaps. How does that work? Explain maybe for a second. There are quite a few people on temporary protected status in the country. That's right. And I think this is a good point to emphasize that the biggest immediate changes Trump can make on day one or within the first few months is to legal immigration and people who have some form of temporary legal status in the United States. So, for people who have temporary legal status, we estimate there's around 2 million people who currently are in the United States with some form of temporary executive-led legal status. Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole."
OTU2Ixw7gBO,2792,Aaron Reichlin-Melnick,"Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole. All of those are statuses that can be revoked by the incoming administration. There are different processes that they have to go go through. Parole could theoretically be revoked en masse on day one. DACA, because it's tied up in litigation right now, we cannot rapidly get rid of. There's a whole bunch of legal procedures they'd have to go through, but nevertheless, we expect him to try. And with TPS, the law does provide some minimum time periods before it can be terminated, and it's unclear if he would terminate it for everybody. The single biggest population of people with temporary protective status right now is Venezuelans about 600,000 Venezuelans. Just be clear, these are people for whom there would be a danger of being sent back to their country and that's why they have this temporary status, right? Yeah. So temporary protected status is for people... It's a status that the Department of Homeland Security can grant to any country or even subset of a country where sending those people back would be a problem because of armed conflict, environmental disaster, or other serious issue that would make it dangerous to send them back."
irOl3U6AhWN,2724,Aaron Reichlin-Melnick,"What's a plausible that President Trump could stand up nine months from now and say, we've deported X number of criminals that otherwise were just living in this country disgracefully, taking advantage of us and so forth? Are we talking about tens of thousands of people? Hundreds of thousands of people? Tens of thousands for sure, because even the Biden administration has deported tens of thousands of people with criminal records. The previous administration deported every single year. Now, of course, when we say criminal records, I want to emphasize the number one most common offense is traffic offenses of a prior record. The second most common is an immigration offense. So there's going to be thousands and thousands of people there whose only prior criminal conviction is a conviction for illegal entry. And these are people then who could be rapidly deported. So if you have an immigration offense on your record, that means you've been deported at least once and you can be deported very quickly. But part of the reason that that is true is because ICE's primary way of finding people is through fingerprint checks run by local law enforcement. ICE generally, and this is the history of immigration enforcement, has not in the last few decades, really since Congress 40 years ago told the agency to focus on people with criminal records, has used law enforcement connections as their main way of identifying new targets."
UAp-COuneHe,6810,Larry Summers,"I mean one way to think about it, maybe we had the oil shock in '73 basically, and then Nixon at the same time, considerable political instability leading to the resignation of actually Agnew, separate reasons in a way. Agnew then of course Nixon in '74, but that was about a year. I think what everyone thinks of their administrations-Ford and Carter tried to restore a certain kind of normalcy, you might say, to our politics and did to a reasonable degree. Obviously the economics of the rest of the seventies remained choppy to say the least. And it ultimately took whatever it took with Volcker and all this. But one thing that's really striking, leave aside post 2028 and how much of the damage remains, and I think that's a real concern. But also Donald Trump or Donald Trump only if he's in good health, if not JD Vance, will be president for the next three and three-quarter years. So it's not as if... you don't have that sort of... I mean that was a one-year shock in a certain way in '73, '74 here. Here, it's not only self-administered, which is worse presumably, but also that's where I guess I get also so worried."
KK-IQQ8Vh2b,6880,Larry Summers,"And they have the virtue that they are collective, they have the virtue that participation in them is largely anonymous. People all sell and nobody quite knows who it is exactly who is selling. And they have the virtue that they're always open, and so they're sending signals in very rapid response to events. And all of that makes them a powerful force. But I think they're more effective with respect to some issues than with respect to other issues, and I don't think they are sufficient. Something I have learned over time from my own participation in public debates and watching others is that interventions are most effective when they're unexpected. So the impact of Nancy Pelosi shouting from the rooftops or The New Republic and Nation magazines being deeply concerned about civil liberties is much less than voices like yours or voices of Republican senators or business leaders or the kinds of people who President Trump has traditionally been very respectful of. Yeah, it may be that we'll look back on Liberation Day as a tipping point in this direction, in a good way, and that people stop being able to tell themselves it'll be like the first term, he'll be constrained by reasonably responsible advisors and national security policy and to some degree an economic policy."
Znzv45PfcIr,8365,Larry Summers,"That's a really a long time. A hundred days is one-fifteenth, I haven't done the math precisely of an administration's longevity. And if we're at this level of instability and uncertainty at one- fifteenth, could get better, but it could also just at least stay as bad or could get worse. If JD Vance were ever to ascend to the presidency. It is hard to imagine him saying that our long national nightmare is over as he ascended, and that is a very substantial difference. Richard Nixon, for all his many faults, knew the difference between right and wrong well enough to do his best to obscure all the wrong that he was doing. Donald Trump glories in the wrong that he's doing and wants it to be as public as possible so as to deter, intimidate, and cast a shadow over potential opposition. That is a very profound difference. No one doubted that when the Supreme Court said that Richard Nixon had to turn over the tapes, that he would. No one doubted that when the Supreme Court said that the New York Times and the Washington Post would be allowed to publish the Pentagon Papers, that they would in fact be allowed to do that."
CdcAJHdIEqJ,7490,Larry Summers,"The proposals that he announced on ""Liberation Day"" took 3% to 28%. So it was a tenfold increase. It was 20 times larger almost than what he had done during his first term. There are differences in view about how to interpret precisely where we are or where things might go, but I know of no thoughtful observer who thinks the number's likely to fall below, well, something in the 12 to 15 range. So we are looking at an increment to tariffs five to 10 times conservatively as that which he applied during his first term. So it's a mistake to think of this as a respite from anything other than insanity. From the perspective of what people expected even on election day, on knowing that Donald Trump had been elected, what today is regarded as an optimistic scenario is a high tariff scenario. So I don't think we should sort of say, ""Well, the tariffs may still work themselves out, but we'll still have big problems."" Working themselves out for the tariffs is still getting to a very, very bad place. Second thing I would say is... There's a saying that it takes 30 years to grow a forest and 30 minutes to burn it down."
ej-bQ8f80YM,6883,Larry Summers,"You and I, Bill, are used to the idea that going to visit certain countries, prudent people carry burner phones so that their phone will not be downloaded with its content. It is now very common practice for visitors from our Five Eyes allies, not NATO, our closest intelligence sharing allies. People in authority from those countries now don't feel comfortable bringing their regular cell phone to the United States. That is a quite stunning level of deterrence that we are introducing. And so I don't think that gets put back in the bottle. We are seeing precedence set in terms of the wielding of the presidential authority in arbitrary ways that will be followed by future presidents. There's a term in physics that I was involved in importing into economics that I think very much applies here. The term is hysteresis, a physical system which is a ball and a bowl has only one equilibrium. Wherever it starts, the ball rolls to the bottom of the bowl. A ball on a football field has lots of equilibrium. Wherever the ball gets kicked, it stops and it rests. And systems are sometimes subject to a kind of cyclicality. Joe McCarthy came, the system processed through Joe McCarthy, and yes, it contributed to some dynamics in the 1960s, but you would probably have said that by 1970, whatever America's problems were, they were kind of not very different because we had the very bad Joe McCarthy episode."
