video_id,view_count,guest_name,transcription
LwMtshF6PwK,2882,Aaron Reichlin-Melnick,"And if they win then they get to stay. But most of the time people go through this process outside of detention and just going about their lives pretty normally with a sword of Damocles hanging over their head. Based on the Trump administration, if they just get more aggressive on raids or whatever we're supposed to call them, and the targeted actions and if they have the good enough information to know where to target actions and stuff, which maybe they do, I don't know, I mean, what would the plausible number of people... What's a plausible that President Trump could stand up nine months from now and say, we've deported X number of criminals that otherwise were just living in this country disgracefully, taking advantage of us and so forth? Are we talking about tens of thousands of people? Hundreds of thousands of people? Tens of thousands for sure, because even the Biden administration has deported tens of thousands of people with criminal records. The previous administration deported every single year. Now, of course, when we say criminal records, I want to emphasize the number one most common offense is traffic offenses of a prior record. The second most common is an immigration offense. So there's going to be thousands and thousands of people there whose only prior criminal conviction is a conviction for illegal entry."
luYIFdlKdMw,2988,Aaron Reichlin-Melnick,"He can terminate them somewhat earlier, but nevertheless he can't do it immediately. So there is a minimum period under the law that allows people to get their affairs in order. And so that is in many ways the population that he can have the biggest impact on. So we could see 2 million people lose their ability to live here legally and to work. That doesn't mean they're going to be deported, however, because when you lose the status, you just kind of become undocumented. So he could render 2 million people fully undocumented as opposed to what they are now, kind of semi-documented. They don't have permanent status, but they do have temporary status. You could just get rid of that and sort of put them in the population of the undocumented and then make efforts to deport them. But they would still too have to go through the immigration court backlogs potentially. And then when it comes to legal immigration, of course he can cut legal immigration much more easily than any of this. It's much easier for the president to stop people from entering the country- Yeah, say a word about that because of course, the famous Muslim ban in the first term was that. It wasn't removing people who were here, or it wasn't stopping people at the border particularly."
UvtaiJVfU7w,8065,Larry Summers,"I guess that's my... I really have come to this a hundred-day stuff. We're speaking here on, what is it, April 28th and it's almost a hundred days of the year, and it was a hundred days. That's a really a long time. A hundred days is one-fifteenth, I haven't done the math precisely of an administration's longevity. And if we're at this level of instability and uncertainty at one- fifteenth, could get better, but it could also just at least stay as bad or could get worse. If JD Vance were ever to ascend to the presidency. It is hard to imagine him saying that our long national nightmare is over as he ascended, and that is a very substantial difference. Richard Nixon, for all his many faults, knew the difference between right and wrong well enough to do his best to obscure all the wrong that he was doing. Donald Trump glories in the wrong that he's doing and wants it to be as public as possible so as to deter, intimidate, and cast a shadow over potential opposition. That is a very profound difference. No one doubted that when the Supreme Court said that Richard Nixon had to turn over the tapes, that he would. No one doubted that when the Supreme Court said that the New York Times and the Washington Post would be allowed to publish the Pentagon Papers, that they would in fact be allowed to do that."
icpHdEoziIb,7317,Larry Summers,"Let me say three things. The secret sauce of economics is arithmetic, so I think it's useful to just think about some numbers. The average tariff rate in the United States before Trump's first term was 1.5%. During his first term with really very considerable excitement, he doubled it from about 1.5% to about 3%. The proposals that he announced on ""Liberation Day"" took 3% to 28%. So it was a tenfold increase. It was 20 times larger almost than what he had done during his first term. There are differences in view about how to interpret precisely where we are or where things might go, but I know of no thoughtful observer who thinks the number's likely to fall below, well, something in the 12 to 15 range. So we are looking at an increment to tariffs five to 10 times conservatively as that which he applied during his first term. So it's a mistake to think of this as a respite from anything other than insanity. From the perspective of what people expected even on election day, on knowing that Donald Trump had been elected, what today is regarded as an optimistic scenario is a high tariff scenario. So I don't think we should sort of say, ""Well, the tariffs may still work themselves out, but we'll still have big problems."" Working themselves out for the tariffs is still getting to a very, very bad place."
BOirOl3U6Ah,19959,Anne Applebaum,"It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him. And that includes every European country. So he can't visit Europe at all because he would be arrested upon landing. And the fact, as you say, that he appeared in the US, that American soldiers physically rolled out a red carpet for him, which I haven't seen them doing for Zelensky indeed, or President Macron, or anybody else. The fact that he was received with this expectation of an elaborate lunch and so on, which by the way, he didn't stick around for. The fact that he was apparently rude to the American president, for which he seems to have paid no price either. I mean, all that is, from the European point of view and really actually the international point of view, pretty extraordinary. And it has started once again all the questions and conversations about what does he have over Trump? Why is Trump a supplicant towards Putin? Why is the United States, which is a much larger, much more important, much wealthier, much more powerful country, why do we appear to be sucking up to Russia?"
WNmZTvUAp-C,19375,Anne Applebaum,"I mean, the Europeans seem to be doing more. I'm just curious how worrisome though is that going forward, three, six, 9, 12 months, obviously if it stays basically dried up? And secondly, one thing you didn't mention that I think fits very much in with what you were saying is having Putin in the United States, I think people here didn't appreciate what that meant. I mean, he's been a pariah, justifiably so in my opinion, since the invasion, but maybe he should have been a pariah after the first invasion. That's a whole 'nother, but anyway, certainly since February 24th, 2022, and he hasn't been to any respectable European country, and maybe even unrespectable one. I don't know if he's been anywhere in Europe beyond Belarus or something. And having him be greeted with a red carpet by the president of the United States in the US while the war's going on, no ceasefire, no cessation for one day of bombing of civilians. I feel like that's a horrible, horrible thing for the US. It's just kind of a stain on our honor, but also a terrible signal to send to the Ukrainians and to the Europeans, and to the Russians for that matter. To be clear, if Putin were to go to any country that's a member of the International Criminal Court, which the United States is not, that country would be obligated to arrest him."
HeKK-IQQ8Vh,6185,Tim Snyder,"I think that's an excellent point. As I recall it, the move that we often made was to say, ""These guys are somehow invested wrongly in the past,"" which of course fascists are. Fascists have the cyclical view of the past and restoring greatness. And in that way, Milošević really was... he was somebody who talked about both... he does the thing which Putin does now and which Trump does now, which is that you somehow are both always the victim and you're always the victor at the same time. Like everybody's always against you and somehow it always turns out well, and whatever you do is okay because you're always already the victim. But yeah, I don't think, in coming out of the '80s into the '90s, a lot of the people that the United States had backed during the Cold War would have been called, if we had not been backing them, fascists. And so that's one reason why we're not sensitive to it. But I think the main reason we're not sensitive to it actually is a lack of reflection about our own history. I think that's really where we... that's our real problem. It's not anybody else, the problem is us. Yeah. And certainly someone like me who'd been on the conservative side, I feel like I've personally learned a ton about... and I knew this of course at some level, and I was pro civil rights and everything."
2bZnzv45Pfc,6132,Tim Snyder,"Yeah. ""We're on the right side of civil rights and we've..."" yeah. If we fix it, it's all done. But of course things that happen after civil rights, like mass incarceration and voter suppression, are actually continuations of that tradition, unfortunately. But the thing I wanted to say, going back to an earlier point you made, is that the racism is connected to the America First stuff. Lindbergh's... The reason why Lindbergh likes the Nazis is that he wants to have, and I'm paraphrasing him now, but he wants to have a fortress of white people that are going to hold back the black and brown people. His fantasy is that we have a technological advantage across the Atlantic and, together with the Germans, we can basically keep the brown and the black people out of our countries. That's it. And it's direct organic. And you see that direct organic connection too, the folks now who talk about America First or isolationism very often bleed into or are quite openly on the wrong side when it comes to race. And then just as a footnote, it helps to look at the Russians because the Russians, there are things about us they don't get. And I think Trump is going to pay for the Russians having too much influence on his campaign this time around."
cAJHdIEqJej,10659,Mark Esper,"It's a different footing, and it's sending a message. I mean, who else are they making that announcement about? It's clearly, North Korea is a threat to them, but they've been dealing with North Korea for decades. It's really about China and it's about China, Chinese Coast Guard, Chinese naval vessels in Japanese waters, in Japanese exclusive economic zones, sailing around the Senkakus, which I think the Japanese recognizes. And by the way, it's not just them who are saying fund Ukraine, it's Taiwan too is saying, because they recognize the common principle at stake here. And the common principle is this, if a big authoritarian neighbor invades a smaller democracy for the sole purpose of seizing that territory and incorporating it into their own domain, we need to fight for those principles or else the global order that we've known that's produced peace and prosperity for the last 75 plus years is going to wither away. And that's not the world we want to live in when we're living under Chinese values and Chinese interests. It'll be a far different world for our grandchildren and great- grandchildren. Or a world in which Putin could just invade a neighbor and slaughter people and then get away with it, keep a good chunk of the territory or all of it. Yeah."
-bQ8f80YMM3,10416,Mark Esper,"What's that? They held Ukraine, yeah. But the actual direct invasion of a UN member state with the kind of semi-genocidal way they've conducted the war, maybe not semi, it's pretty the largest ground war in Europe in 80 years, I think. Right? I mean, I feel it's pretty big I think. Don't you think February 24, 2022 will be like a real, genuine moment in world history? Yeah. Look, I think it crystallized again this notion of a new era of great power competition with Russia and China being the adversaries. And keep in mind, it was just a few weeks before the invasion that Putin and Xi Jinping, the president of China, stood side by side of all places in Beijing at the Olympics, and they issued their 5,000 word statement about their strategic partnership and alliance, and would just be a few weeks later when Russia would invade Ukraine with armored columns and mechanized troops. And it was almost like the Nazi invasion of Poland in 39. I mean, it was just kind of a blitz into Kiev. Unfortunately, the Ukrainians fought back bravely, courageously and competently and spoiled their plans. Good for them. And you all did, I think a fair amount, and maybe the [inaudible] administration had begun after 2014 to do some things too, to really build up Ukraine's military capability."
