video_id,view_count,guest_name,transcription
fU7wicpHdEo,2975,Aaron Reichlin-Melnick,"Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole. All of those are statuses that can be revoked by the incoming administration. There are different processes that they have to go go through. Parole could theoretically be revoked en masse on day one. DACA, because it's tied up in litigation right now, we cannot rapidly get rid of. There's a whole bunch of legal procedures they'd have to go through, but nevertheless, we expect him to try. And with TPS, the law does provide some minimum time periods before it can be terminated, and it's unclear if he would terminate it for everybody. The single biggest population of people with temporary protective status right now is Venezuelans about 600,000 Venezuelans. Just be clear, these are people for whom there would be a danger of being sent back to their country and that's why they have this temporary status, right? Yeah. So temporary protected status is for people... It's a status that the Department of Homeland Security can grant to any country or even subset of a country where sending those people back would be a problem because of armed conflict, environmental disaster, or other serious issue that would make it dangerous to send them back."
ziIbob_y6Sh,2876,Aaron Reichlin-Melnick,"No court ever allows it to go into effect. That's the most likely scenario. Not ruling out anything else given what we've seen in the courts in the last few years, but I think that's still the odds-on favorite. And just to think about the campaign, the Haitians in Springfield, Ohio, they have temporary protective status. That's something a lot of people had not heard much about and suddenly became a thing, TPS. Trump could make it harder for some of those people to stay in the country and not extend their status or curtail their status, perhaps. How does that work? Explain maybe for a second. There are quite a few people on temporary protected status in the country. That's right. And I think this is a good point to emphasize that the biggest immediate changes Trump can make on day one or within the first few months is to legal immigration and people who have some form of temporary legal status in the United States. So, for people who have temporary legal status, we estimate there's around 2 million people who currently are in the United States with some form of temporary executive-led legal status. Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole."
Rfh2zucR_LG,2809,Aaron Reichlin-Melnick,"And it's of course, just to emphasize, it is a crackpot legal theory pushed by John Eastman, primarily. The disgraced and disbarred John Eastman of the 2020 Big Lie efforts to overturn the election. He is the main legal ""scholar,"" and I put ""scholar"" in quotes here, who has argued that the president can do this. There is no groundswell of conservative judicial support for this. This is not something the conservative legal movement has ever supported. Even some arch-conservative judges right now put in place by Trump have said in the past that birthright citizenship is obviously the law of the land. And this is not even something that's from the 14th Amendment. We've had birthright citizenship since the founding of the country. It's an ancient English common law practice that has been around for centuries. Do you think he will issue an executive order, which will immediately get enjoined in court, presumably just to say he's done it? Yeah. Pretty much. I think that's the most likely scenario. He issues an order. It's blocked in court within days. No court ever allows it to go into effect. That's the most likely scenario. Not ruling out anything else given what we've seen in the courts in the last few years, but I think that's still the odds-on favorite. And just to think about the campaign, the Haitians in Springfield, Ohio, they have temporary protective status."
OTU2Ixw7gBO,2988,Aaron Reichlin-Melnick,"He can terminate them somewhat earlier, but nevertheless he can't do it immediately. So there is a minimum period under the law that allows people to get their affairs in order. And so that is in many ways the population that he can have the biggest impact on. So we could see 2 million people lose their ability to live here legally and to work. That doesn't mean they're going to be deported, however, because when you lose the status, you just kind of become undocumented. So he could render 2 million people fully undocumented as opposed to what they are now, kind of semi-documented. They don't have permanent status, but they do have temporary status. You could just get rid of that and sort of put them in the population of the undocumented and then make efforts to deport them. But they would still too have to go through the immigration court backlogs potentially. And then when it comes to legal immigration, of course he can cut legal immigration much more easily than any of this. It's much easier for the president to stop people from entering the country- Yeah, say a word about that because of course, the famous Muslim ban in the first term was that. It wasn't removing people who were here, or it wasn't stopping people at the border particularly."
irOl3U6AhWN,2882,Aaron Reichlin-Melnick,"And if they win then they get to stay. But most of the time people go through this process outside of detention and just going about their lives pretty normally with a sword of Damocles hanging over their head. Based on the Trump administration, if they just get more aggressive on raids or whatever we're supposed to call them, and the targeted actions and if they have the good enough information to know where to target actions and stuff, which maybe they do, I don't know, I mean, what would the plausible number of people... What's a plausible that President Trump could stand up nine months from now and say, we've deported X number of criminals that otherwise were just living in this country disgracefully, taking advantage of us and so forth? Are we talking about tens of thousands of people? Hundreds of thousands of people? Tens of thousands for sure, because even the Biden administration has deported tens of thousands of people with criminal records. The previous administration deported every single year. Now, of course, when we say criminal records, I want to emphasize the number one most common offense is traffic offenses of a prior record. The second most common is an immigration offense. So there's going to be thousands and thousands of people there whose only prior criminal conviction is a conviction for illegal entry."
UAp-COuneHe,6636,Larry Summers,"No, absolutely. I do really think that it is important though to understand that it really is better if you're unhealthy because you're eating a gallon of chocolate ice cream every day, then you're unhealthy despite having a terrific diet. No, no. No, I take that point, that's a very important- I think that is a very important point to recognize about our current moment. Right. It's a good point and let's end on it. And it's, as you say, mostly a hopeful point, so that's a good thing to end on too. Larry Summers, thank you so much for joining me again and us again for this very, very interesting and thought-provoking conversation. Thank you, Bill. And thank you all for joining us on Conversations ."
KK-IQQ8Vh2b,6660,Larry Summers,"That is a very profound difference. No one doubted that when the Supreme Court said that Richard Nixon had to turn over the tapes, that he would. No one doubted that when the Supreme Court said that the New York Times and the Washington Post would be allowed to publish the Pentagon Papers, that they would in fact be allowed to do that. And we don't have that confidence right now. We are not sure whether court orders will be followed. They might be. I don't think yet we have crossed the Rubicon into complete defiance of the judiciary, but we are sure sidling up to that Rubicon in a big hurry. And that is a very different thing than what we had before. Bill, the stories I hear of people who would've been inclined in various ways to be oppositional, but they weren't sure they could and be 100% confident of their family's safety, these kinds of stories are not what we expect in America. Now, I think it's very important not to have what people have started to call Trump derangement syndrome. I absolutely avoid any analogies with Germany in the 1930s, but I don't think it's necessary to avoid analogies with Argentina in the '40s, '50s and '60s. Argentina was a country where its standard of living in the first half of the 20th century weree in the same broad range as that of the United States."
Znzv45PfcIr,8065,Larry Summers,"I guess that's my... I really have come to this a hundred-day stuff. We're speaking here on, what is it, April 28th and it's almost a hundred days of the year, and it was a hundred days. That's a really a long time. A hundred days is one-fifteenth, I haven't done the math precisely of an administration's longevity. And if we're at this level of instability and uncertainty at one- fifteenth, could get better, but it could also just at least stay as bad or could get worse. If JD Vance were ever to ascend to the presidency. It is hard to imagine him saying that our long national nightmare is over as he ascended, and that is a very substantial difference. Richard Nixon, for all his many faults, knew the difference between right and wrong well enough to do his best to obscure all the wrong that he was doing. Donald Trump glories in the wrong that he's doing and wants it to be as public as possible so as to deter, intimidate, and cast a shadow over potential opposition. That is a very profound difference. No one doubted that when the Supreme Court said that Richard Nixon had to turn over the tapes, that he would. No one doubted that when the Supreme Court said that the New York Times and the Washington Post would be allowed to publish the Pentagon Papers, that they would in fact be allowed to do that."
CdcAJHdIEqJ,7317,Larry Summers,"Let me say three things. The secret sauce of economics is arithmetic, so I think it's useful to just think about some numbers. The average tariff rate in the United States before Trump's first term was 1.5%. During his first term with really very considerable excitement, he doubled it from about 1.5% to about 3%. The proposals that he announced on ""Liberation Day"" took 3% to 28%. So it was a tenfold increase. It was 20 times larger almost than what he had done during his first term. There are differences in view about how to interpret precisely where we are or where things might go, but I know of no thoughtful observer who thinks the number's likely to fall below, well, something in the 12 to 15 range. So we are looking at an increment to tariffs five to 10 times conservatively as that which he applied during his first term. So it's a mistake to think of this as a respite from anything other than insanity. From the perspective of what people expected even on election day, on knowing that Donald Trump had been elected, what today is regarded as an optimistic scenario is a high tariff scenario. So I don't think we should sort of say, ""Well, the tariffs may still work themselves out, but we'll still have big problems."" Working themselves out for the tariffs is still getting to a very, very bad place."
ej-bQ8f80YM,7034,Larry Summers,"Wherever it starts, the ball rolls to the bottom of the bowl. A ball on a football field has lots of equilibrium. Wherever the ball gets kicked, it stops and it rests. And systems are sometimes subject to a kind of cyclicality. Joe McCarthy came, the system processed through Joe McCarthy, and yes, it contributed to some dynamics in the 1960s, but you would probably have said that by 1970, whatever America's problems were, they were kind of not very different because we had the very bad Joe McCarthy episode. But sometimes events cast a permanent or near permanent shadow on the system, and I think that it is very likely that what we are seeing will have that kind of effect as future historians look back at things. And I suppose if the country fully repudiated this experiment and goes, ""We can never go back."" But went forward to a more stable governance. If it fully repudiated this experiment, then you're right, that might actually be what's happening. But it's difficult to do that. I agree. But I think it's going to be pretty difficult to do that. I think that an example for better or for worse is various changes in the way the confirmation power has been adopted by the Senate. Once that changes, it has changed and it is very hard to cause it to go back."
