video_id,view_count,guest_name,transcription
OuneHeKK-IQ,2876,Aaron Reichlin-Melnick,"No court ever allows it to go into effect. That's the most likely scenario. Not ruling out anything else given what we've seen in the courts in the last few years, but I think that's still the odds-on favorite. And just to think about the campaign, the Haitians in Springfield, Ohio, they have temporary protective status. That's something a lot of people had not heard much about and suddenly became a thing, TPS. Trump could make it harder for some of those people to stay in the country and not extend their status or curtail their status, perhaps. How does that work? Explain maybe for a second. There are quite a few people on temporary protected status in the country. That's right. And I think this is a good point to emphasize that the biggest immediate changes Trump can make on day one or within the first few months is to legal immigration and people who have some form of temporary legal status in the United States. So, for people who have temporary legal status, we estimate there's around 2 million people who currently are in the United States with some form of temporary executive-led legal status. Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole."
Q8Vh2bZnzv4,2648,Aaron Reichlin-Melnick,"Nevertheless, they'll still be able to use that propaganda to say, ""We are protecting Americans."" And to emphasize, I think a few other points on here, of course, the vast majority of undocumented immigrants are not criminals. The undocumented population is less likely to commit crimes than the native-born American citizens. Same is true for legal immigrants because people of course, sensibly, do not want to show up on a government radar and generally don't like to stick their heads up. And the undocumented population is really part of every community. And if they actually did manage to round everybody up, it could have really devastating impacts on the United States economy in particular with massive spikes in inflation, a drop overall of the economy. We estimated if 11 million people are deported, we estimated GDP could drop 4.2 to 6.8%, which is as high or higher than the percentage drop during the Great Recession. And the economic implications could be dramatic. But we are in a world right now, days before Trump takes office where we can predict a number of different scenarios, but we can't say which one of them will come true. We can say it's probably unlikely-almost impossible-that 11 million are deported. But given this new world we are in right now, and with the possibility of this massive influx of funding, saying how much they're going to get and how quickly they can ramp up this enforcement, it's still tricky."
5PfcIrCdcAJ,2975,Aaron Reichlin-Melnick,"Over a million people with TPS, temporary protected status, half a million people or more with DACA. Sorry, it's probably around 1.2 million people now with TPS, half a million people with DACA and an additional probably 200 to 400,000 people with some form of humanitarian parole. All of those are statuses that can be revoked by the incoming administration. There are different processes that they have to go go through. Parole could theoretically be revoked en masse on day one. DACA, because it's tied up in litigation right now, we cannot rapidly get rid of. There's a whole bunch of legal procedures they'd have to go through, but nevertheless, we expect him to try. And with TPS, the law does provide some minimum time periods before it can be terminated, and it's unclear if he would terminate it for everybody. The single biggest population of people with temporary protective status right now is Venezuelans about 600,000 Venezuelans. Just be clear, these are people for whom there would be a danger of being sent back to their country and that's why they have this temporary status, right? Yeah. So temporary protected status is for people... It's a status that the Department of Homeland Security can grant to any country or even subset of a country where sending those people back would be a problem because of armed conflict, environmental disaster, or other serious issue that would make it dangerous to send them back."
HdIEqJej-bQ,2700,Aaron Reichlin-Melnick,"Anyway, but on the border, it seems to me that if he can get, if Trump can keep cooperation from Mexico, it just feels like two or three months from now he could be saying border crossings are low, and they could have footage of the border being sort of quieter than it looked a year ago, right? Just for political [inaudible]... Yeah, absolutely. And there was a Trump effect eight years ago, the first time he came into office, where migrants looked at his rhetoric and said, ""We're going to wait a little while to see what's actually going to happen."" So in spring 2017, I think April 2017 saw the lowest number of border patrol apprehensions in 50 years since this 1970s, the early 1970s. And that's not because Trump had done anything. It's because migrants were looking at all of his rhetoric and going, ""We'll see how much of this is bark and how much of this is actual bite."" And I fully expect something similar to happen in the first few months of his term where border crossings will drop, not because of any change in policy, but more because people are just waiting to see whether he's going to carry out these harsh policies that he said he would on the campaign trail. And just to finish with this, none of this really has big legislative implications, it sounds like this is all stuff Trump can just do."
8f80YMM3t20,2988,Aaron Reichlin-Melnick,"He can terminate them somewhat earlier, but nevertheless he can't do it immediately. So there is a minimum period under the law that allows people to get their affairs in order. And so that is in many ways the population that he can have the biggest impact on. So we could see 2 million people lose their ability to live here legally and to work. That doesn't mean they're going to be deported, however, because when you lose the status, you just kind of become undocumented. So he could render 2 million people fully undocumented as opposed to what they are now, kind of semi-documented. They don't have permanent status, but they do have temporary status. You could just get rid of that and sort of put them in the population of the undocumented and then make efforts to deport them. But they would still too have to go through the immigration court backlogs potentially. And then when it comes to legal immigration, of course he can cut legal immigration much more easily than any of this. It's much easier for the president to stop people from entering the country- Yeah, say a word about that because of course, the famous Muslim ban in the first term was that. It wasn't removing people who were here, or it wasn't stopping people at the border particularly."
7GMHzrNfYY5,2700,Aaron Reichlin-Melnick,"It is extended every 18 months. Every 18 months DHS has to make a new decision whether to keep extending it or to terminate it. And so most of the designations now are set to expire in 2026, thanks to the Biden administration very recently extending four TPS designations and some are set to expire in 2025. If Trump does what he did in his first term when he tried to terminate TPS, at the moment when they are set to expire, he will announce that there will be no further statuses but gave everybody one final extension of 18 months and said after those 18 months, that's it. So if he does that again, we would see most TPS designations really expiring in 2027 and 2028. With DACA again Joe Moakley Could he cut them off though now? Could he come into office and say, ""Biden tried to extend this?"" Not immediately. But he can't say, ""I revoke Biden's extension and you Haitians in Springfield, Ohio, you've got to go in three months,"" or something like that? He can terminate them somewhat earlier, but nevertheless he can't do it immediately. So there is a minimum period under the law that allows people to get their affairs in order. And so that is in many ways the population that he can have the biggest impact on."
R2Xj7fJ4MGB,2809,Aaron Reichlin-Melnick,"And it's of course, just to emphasize, it is a crackpot legal theory pushed by John Eastman, primarily. The disgraced and disbarred John Eastman of the 2020 Big Lie efforts to overturn the election. He is the main legal ""scholar,"" and I put ""scholar"" in quotes here, who has argued that the president can do this. There is no groundswell of conservative judicial support for this. This is not something the conservative legal movement has ever supported. Even some arch-conservative judges right now put in place by Trump have said in the past that birthright citizenship is obviously the law of the land. And this is not even something that's from the 14th Amendment. We've had birthright citizenship since the founding of the country. It's an ancient English common law practice that has been around for centuries. Do you think he will issue an executive order, which will immediately get enjoined in court, presumably just to say he's done it? Yeah. Pretty much. I think that's the most likely scenario. He issues an order. It's blocked in court within days. No court ever allows it to go into effect. That's the most likely scenario. Not ruling out anything else given what we've seen in the courts in the last few years, but I think that's still the odds-on favorite. And just to think about the campaign, the Haitians in Springfield, Ohio, they have temporary protective status."
LeV0-9bzHVw,2644,Aaron Reichlin-Melnick,"Yeah, so he can legally find ways to make it very difficult for any migrants to be allowed into the United States. But as we saw with Title 42 the first time around, even if you sign an order saying not a single person should be allowed into the United States because of COVID, that doesn't actually mean that not a single person will be able to enter the United States and remain here. Some obstacles remain. First off, it's a 2,000 mile land border. It is extraordinarily difficult to stop everyone from crossing. And administrations have been trying for half a century, with not that much success, to bring numbers down to zero. No one's ever managed to bring numbers down to zero. And then secondly, some diplomatic issues will remain. So a good example is people who come from countries that don't accept deportations. If you cross the border today and you come from, say, China, China has restarted accepting some deportations in recent months, but they're taking about one deportation flight a month, each flight carries about 135 people. So if 5,000 people from China cross the border, it doesn't matter what the policy on the ground actually says. In immigration, presence is nine-tenths of the law. You are now on US soil. If the United States wants to deport you, then it is going to have find a country that is willing to take you."
Axh6k2-TYlb,2765,Aaron Reichlin-Melnick,"That's flagrantly unconstitutional. He can't do that. Obviously- And even he is saying, I think, that he would do it prospectively, presumably, not retroactively. Right? Yeah. Though of course, there's really no legal way that you could make that distinction, say, oh, okay, so the constitution requires you to have birthright citizenship up through January 20, 2025. But after that, no longer it does. So anything that he did there would- Well, an executive order could say that, though. Any executive order would still threaten people. Of course, one of the things we've heard him say, was stop granting passports to people who can't prove that both their parents were US citizens or had legal status when the child was born. Of course, plenty of US citizens need to get a passport who are not being born now. Maybe a 30, 40-year-old who was born to undocumented parents, would that person be denied a passport under this policy? We don't know. And so that... ways in which it could threaten people potentially whose were born decades ago. And it's of course, just to emphasize, it is a crackpot legal theory pushed by John Eastman, primarily. The disgraced and disbarred John Eastman of the 2020 Big Lie efforts to overturn the election. He is the main legal ""scholar,"" and I put ""scholar"" in quotes here, who has argued that the president can do this."
HHoHG9UHKXI,2882,Aaron Reichlin-Melnick,"And if they win then they get to stay. But most of the time people go through this process outside of detention and just going about their lives pretty normally with a sword of Damocles hanging over their head. Based on the Trump administration, if they just get more aggressive on raids or whatever we're supposed to call them, and the targeted actions and if they have the good enough information to know where to target actions and stuff, which maybe they do, I don't know, I mean, what would the plausible number of people... What's a plausible that President Trump could stand up nine months from now and say, we've deported X number of criminals that otherwise were just living in this country disgracefully, taking advantage of us and so forth? Are we talking about tens of thousands of people? Hundreds of thousands of people? Tens of thousands for sure, because even the Biden administration has deported tens of thousands of people with criminal records. The previous administration deported every single year. Now, of course, when we say criminal records, I want to emphasize the number one most common offense is traffic offenses of a prior record. The second most common is an immigration offense. So there's going to be thousands and thousands of people there whose only prior criminal conviction is a conviction for illegal entry."
