video_id,view_count,guest_name,transcription
kqH4oM8uhqI,2025,Ryan Goodman," We're seeing things that I would never have imagined, masked, militarized forces on American streets, snagging people and putting it in the back of vans. And we know that at a minimum, two things, one, they're not going after hardened criminals because they're trying to meet their quotas and two, they're at a minimum making a bunch of mistakes. So we even have multiple justice department, filings in court, emitting to administrative errors of getting the wrong people and in fact sending them to like C cut prison in El Salvador and elsewhere. And that is not only the country that we're living in today, which is to me like this internal security force. I started some of my academic career and practice on human rights. I mean, that's the kind of stuff we were seeing in the Americas with when you talked about the military it was actually the internal military. And the ICE is, and not only are we seeing that, but we're on the cusp of tens of billions of dollars being infused into ICE right at the moment that this is all happening, just to ramp up that force. And once you do that, I'm not quite sure why you need the Marines because they seem so pumped up in a very militaristic way and both in their fatigues and their heavy arms and including in instances in which they're going to a home depot or whatnot to arrest just very ordinary people."
LheEa0iNiI0,1232,Ryan Goodman," the unitary executive, the idea that the president controls vertically everything within the executive branch and therefore the court is going to in all likelihood they've already signaled this through their decisions, give the president the power to remove people from multi-member independent agencies at will whenever he wants to without cause. That's one building block that they've been building for a long time now. And then I guess the other one is the Casa Decision, which is just a few days old while we're talking and that's the decision that says that court should not intrude on the executive branch through issuing nationwide or universal injunctions. And my view of that one is it's not trying to hand something to Trump. It's just the way that they were going to go. At some point they were going to go in that direction they've been signaling it for years and it's one of the cases in which I thought if you actually get down deep into the case surely to goodness, even if that's what they want. And there's reasonable minds definitely can come out with the idea that nationwide injunctions are bad. They could have also said, well in this particular instance of birthright citizenship we're going to still find against the Trump administration. There are a couple ways they could have easily done that and they didn't do it. And so I think Trump is supercharged after that opinion. That's where I think it's like not understanding the moment that we're in with this particular person in the White House."
P9ylrEMLAOA,3110,Ray Takeyh," It has paid a huge price for his great power allies, China and Russia. It sells oil at discount to the Chinese. The Chinese are very exploitative in their relationship with Iran, and that doesn't sit well with Iranian people, because they're limited to Chinese products which they don't like, and they're selling their oil at the discount rate to the Chinese multinationals. And in terms of the Russian Federation, Iran was involved in a war in Central Europe, for which it had no particular interest at stake, ideological or practical. What happened to those great power allies that were supposed to come together? What happened to this access that was supposed to be so regenerating? And the Russians have offered to mediate. The Chinese have issued the ritualistic statement by their foreign ministry saying that conflict should stop and cooler history prevail. So that's another alliance that Iran had invested a great deal in. It saw itself as part of this new anti-American access. They came to the Russians aid. They shipped a lot of drone technology to China, which they could have used today. And the Russians all they did was offer to mediate this dispute and call for comms. So that's another angle that hasn't worked out for the regime at such."
Lzq5409v0zw,5340,Ray Takeyh," In the past two or three years, Israelis have turned all the assumptions on their head. In the past three years, Israelis have essentially proven that force and power can work. In the past years, Israelis have proven that everything you taught in your American university about the release is not true. Once they demolish his Bola, it made this attack possible. I do think, frankly, Israelis are probably surprised at their own tactical success, because I think all of us Israelis included had discounted, had deep deraught wars in the Islamic Republic, had institutions had decayed so much. So, yes, it would not have happened, I think, without the Israeli daring attacking against his Bola."
SgcLmozMpY8,3979,Eric Edelman," Susan Glasser of the New Yorker captured it very well in her letter from Washington this week in which she said, the trip that demonstrated that Trump really has no particular foreign policy doctrine. I mean, he was very critical of the Gulf Petro state monarchies that he traveled to in 2016 when he was running president. He criticized Hillary Clinton for taking money from some of these states, including Qatar. He obviously has no problem with it now, including this gift. But as Susan Glasser wrote, it's the perfect symbol for the trip because he has no doctrine. He really believes in transactionalism as a way of life. And in that sense, this cuttery, you know, luxury aircraft is not just a symbol of Trump as a material the substance of Trump."
tI85IxhxDSY,2028,Eric Edelman," Now in the meeting with El Shara, the president did ask for some of the things we would want from a new Syria, or instance normalization. With Israel, have Syria join the Abraham Accords and become another neighbor of Israel it has made peace with it. It would be like Egypt and Jordan and the UAE, Bahrain, other states surrounding Israel in the region. That would be a good thing. He asked for El Shara to expel some of the foreign jihadis who helped El Shara come to power, but who have since been engaged in intercommunal violence in Syria that has troubled observers who would like to see a stable Syria. He asked for their assistance in integrating the Kurdish militias that with which we fought ISIS during the Obama and Trump and Biden administrations to reintegrate them into the Syrian armed forces and also to take over oversight of the camps that contain some 30,000 ISIS fighters and family members that potentially dangerous folks who if left untended could lead to a recurrence of ISIS terrorism in Syria. He asked for all of those very important things."
QScoIOT1QRA,5022,John Bolton," What Trump has done when you add all this together, when you add in his policies on Ukraine, when you look at the things he said about NATO and our alliance structures, and the things he said about making Canada the 51st state, the way he's completely messed up the whole Greenland issue, which is of importance to American national security, threatening to invade Panama, saying he was gonna take the Gaza Strip and turn it into the Riviera, the Mediterranean. He is burning through decades of effort to build up goodwill, trust, faith, reliance on America. Our friends all over the world are saying, you've taken leave of your senses. I think some have overreacted, and I think that's a mistake. It's Trump that's the problem. It's not the American people. Much of what Trump is doing, they didn't vote for in November and they don't like now. We'll get through Trump. There is a life after Trump. We will then try and repair the damage he's done. People shouldn't overreact to this, but in the tariffs and all these many other things, it's not just the economic consequences for the US. It's the loss of what makes America exceptional. Again, very few people have talked about this. Ken Griffin has stood up and said, Trump is damaging brand USA. That's how a business guy would think about it, and it's an aspect of it. But it's just the faith in us as a country that we've accumulated since 1945. You can just see it disappearing in front of your eyes."
5gvHhCPUxK8,10148,John Bolton," As Vladimir Putin has shown, he's still a master manipulator of Trump. Xi Jinping hasn't made his play yet, but we may not be far from seeing that given the potential for a tariff war between the US and China. And there are a lot of other players out there that are seeing this chaos, and they see chaos in the four of the administration too. They know that affects decision-making and increases the chance that they will do something they think we may not even notice let alone respond to."
TR_XSOHfW7c,16880,John Bolton," I think Hague Seth's performance has been so far below expectations that despite some initial moves like removing the chairman of the joint chiefs and taking pictures off the walls and things like that, or former secretaries and defense, which is just silly, and I think regarded as silly. There hasn't been as much disruption as there might have been. Now there are things that are coming that are not good. I don't think the military parade on Donald Trump's birthday, which coincidentally is the anniversary of the formation of the army is a good idea. It didn't happen in the first term, although Trump talked about it a lot, and I think that was a good thing for the country. It will not be a good thing to have this parade. And there are people in the defense department in policy-making positions in civilian ranks who are as bad as JD Vance and Tulsi Gabbard on a lot of our national security issues."
ANlH4VHJXYI,6645,Larry Summers, nearly a month since Liberation Day is that there is no evidence zero of markets accommodating themselves to these policies. All the good news when there has been good news has come from a sense that there's going to be a policy reversal. None of it has come from a sense that well we really are going to impose the tariffs. There really is going to be some kind of American Renaissance. Zero of it has that character. All of it is well maybe they won't go through with this crazy stuff. Maybe they'll back off here. Look they backdoor there. Look they're sending signals that they're just going to declare victory and not do anything real. So that is the disturbing thing.
